iter	TotalF1	MultiClass
0	0.9618465946	1.230265837
1	0.9760695491	1.100103131
2	0.9820546661	0.9955705571
3	0.9847439939	0.9026225782
4	0.9853225364	0.8262599796
5	0.9848265188	0.758340416
6	0.9853595854	0.6990891633
7	0.9859375647	0.6467845331
8	0.9860649101	0.5993502599
9	0.9861021743	0.5580521403
10	0.9864451995	0.5201333696
11	0.9867482636	0.4867278231
12	0.9872810022	0.4564456289
13	0.9865215436	0.4288163598
14	0.9868635804	0.4020505256
15	0.986635881	0.3768212658
16	0.9867870061	0.3541382504
17	0.9868266585	0.3331578519
18	0.9868638138	0.3136218744
19	0.9866739992	0.2959349645
20	0.9867866955	0.278542569
21	0.9870135829	0.2633786813
22	0.9872045631	0.2491193269
23	0.9875083898	0.2361618144
24	0.9880756563	0.2235041477
25	0.9879237487	0.2118882876
26	0.9879606953	0.2013005827
27	0.9878838378	0.1907065445
28	0.9876945351	0.1812787243
29	0.9880717111	0.1729148509
30	0.9877330237	0.1644366933
31	0.9881151743	0.1564287635
32	0.9879630188	0.1492336672
33	0.9879992218	0.1422066578
34	0.9883500246	0.135643568
35	0.9883048079	0.12956606
36	0.9884198599	0.1236743758
37	0.9883431188	0.1184795215
38	0.988200444	0.1136186218
39	0.9881237518	0.1087014634
40	0.9884670381	0.1038072422
41	0.9883903158	0.09948998932
42	0.9903492176	0.09562983403
43	0.9904268806	0.09183112773
44	0.9907744481	0.08807433695
45	0.9908131467	0.08501114266
46	0.991194226	0.0813697341
47	0.9912054303	0.07854777767
48	0.99149907	0.0762531519
49	0.99149907	0.07387636584
50	0.9918489521	0.07119067477
51	0.9920273671	0.06878966509
52	0.9926704243	0.06637643882
53	0.9928785008	0.06403279755
54	0.9932754102	0.06196860026
55	0.9933789882	0.05999045286
56	0.9933229851	0.05853493825
57	0.9936636898	0.05686664212
58	0.9937020904	0.05510425755
59	0.9938532612	0.05323274264
60	0.9937405396	0.05158495535
61	0.9939299915	0.05007365984
62	0.9939299506	0.04858031558
63	0.9939299506	0.04714078956
64	0.9939299506	0.0458529123
65	0.9939299506	0.04471012844
66	0.9939299506	0.04351889546
67	0.9939299506	0.04239494936
68	0.9939299506	0.04136817527
69	0.9940903178	0.0401895377
70	0.9939390514	0.03917586256
71	0.9942406747	0.03813801364
72	0.9943358425	0.03736048293
73	0.9943742336	0.03687120789
74	0.9943742336	0.03631088393
75	0.9943358425	0.03552180315
76	0.9943742336	0.03485769903
77	0.9943834263	0.03397550032
78	0.9944218175	0.03336724852
79	0.9944602086	0.03275694917
80	0.9944602086	0.03238413064
81	0.9944602086	0.03178713123
82	0.9944602086	0.03118821175
83	0.9946106607	0.03060107218
84	0.9946106607	0.02989643619
85	0.9945722695	0.02973832427
86	0.9946106607	0.02933271632
87	0.9946106607	0.02889410322
88	0.9947611114	0.02850540386
89	0.9947611114	0.02833750596
90	0.9947611114	0.02802425012
91	0.9949115609	0.02769284118
92	0.9950620092	0.02750253177
93	0.9950620092	0.02736061737
94	0.9950620092	0.02697718041
95	0.995109489	0.02673605131
96	0.9952599364	0.0263002383
97	0.9952599364	0.02605396991
98	0.9952599364	0.02577457377
99	0.9952599364	0.02551528396
100	0.9954103829	0.02513520189
101	0.9954103829	0.02485701576
102	0.995457863	0.02449578604
103	0.995457863	0.02437892708
104	0.9956083087	0.02403177322
105	0.9956083087	0.0237737478
106	0.9956083087	0.02355712663
107	0.9956083087	0.02320545171
108	0.9957971447	0.02275163778
109	0.9958537146	0.02260556454
110	0.9958062341	0.02239079443
111	0.996004159	0.02215774099
112	0.9959012119	0.02201545286
113	0.9959012119	0.02193461694
114	0.9959396066	0.02183148527
115	0.9959396066	0.02171870551
116	0.9959396066	0.02171310554
117	0.9959396066	0.02149658489
118	0.9960900512	0.02134116539
119	0.9960900512	0.02110688919
120	0.9962404951	0.02097527732
121	0.9962404951	0.02088607371
122	0.9962404951	0.02081944454
123	0.9962404951	0.02059657587
124	0.9962404951	0.02043868826
125	0.9962404951	0.02027283293
126	0.9962404951	0.0200722468
127	0.9962880778	0.0198906667
128	0.9962404951	0.01979985093
129	0.9962880778	0.01962130332
130	0.9962404951	0.0193826352
131	0.9962879759	0.01924314998
